Date,Time,Year,Manufacturer,Contributory Factors,Phase of Flight,Crash Location,Departure,Destination,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground
4/17/1959,639,1959,Other,"Intentional Act/Attack, Fire/Smoke Onboard",Other/Unknown,"Puerto Kino, Mexico",Mexicale,Guaymas,26,21,5,26,21,5,0
4/23/1959,946,1959,Other,"Weather Related, Mechanical/System Failure",Other/Unknown,"Van, Turkey",London,Ankara,12,0,12,12,0,12,0
4/29/1959,1700,1959,Douglas/McDonnell Douglas,Weather Related,Other/Unknown,"Valdemeca, Spain",Barcelona,Madrid,28,25,3,28,25,3,0
5/2/1959,2212,1959,Douglas/McDonnell Douglas,Other/Undetermined,Takeoff/Initial Climb,"Mallorca, Spain",Palma de Mallorca,Wien,5,2,3,5,2,3,0
5/12/1959,1613,1959,Other,Weather Related,Other/Unknown,"Chase, Maryland",New York City,Atlanta,31,27,4,31,27,4,0
5/12/1959,1529,1959,Lockheed,"Fire/Smoke Onboard, Takeoff/Landing Incident",Landing/Approach,"Charleston, West Virginia",Pittsburg,Charleston,44,38,6,2,1,1,0
5/13/1959,,1959,Other,Other/Undetermined,En route/Cruise,"Near Toumavista, Peru",Lima,Pucallpa,12,10,2,12,10,2,0
5/15/1959,2042,1959,Douglas/McDonnell Douglas,Takeoff/Landing Incident,Takeoff/Initial Climb,"Off Mar del Plata, Aregntina",Mar del Plata,Bahia Blanca,10,6,4,10,6,4,0
5/21/1959,,1959,Other,Other/Undetermined,En route/Cruise,"Moro, Peru",Miami,Panama City,8,4,4,8,4,4,0
6/12/1959,,1959,Other,"Mechanical/System Failure, Loss of Control In-Flight (LOC-I), Takeoff/Landing Incident",Takeoff/Initial Climb,"Sandy Lake, Ontario",,,8,7,1,8,7,1,0
6/23/1959,1930,1959,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Cerros Baco, Peru",Bogota,Lima,14,10,4,14,10,4,0
6/26/1959,1735,1959,Lockheed,Weather Related,Other/Unknown,"Near Varese, Lombardia, 20 miles NW of Milan, Italy",Milan,Paris,68,59,9,68,59,9,0
7/15/1959,,1959,Other,"Loss of Control In-Flight (LOC-I), Takeoff/Landing Incident",Takeoff/Initial Climb,"Kuwait City, Kuwait",Kuwait City,Tehran,32,27,5,32,27,5,
8/3/1959,1030,1959,Douglas/McDonnell Douglas,Loss of Control In-Flight (LOC-I),En route/Cruise,"Sagone, India",Mohanbari,Along,6,3,3,6,3,3,0
8/14/1959,2214,1959,Other,"Weather Related, Mechanical/System Failure, Takeoff/Landing Incident",Landing/Approach,"Karachi, Pakistan",Training,,3,0,3,2,0,2,0
8/15/1959,1642,1959,Boeing,Other/Undetermined,En route/Cruise,"Calverton, New York",Training,,5,0,5,5,0,5,0
8/19/1959,1710,1959,Douglas/McDonnell Douglas,Other/Undetermined,Takeoff/Initial Climb,"Near Barcelona, Spain",Barcelona,London,32,29,3,32,29,3,0
8/27/1959,,1959,Bombardier/De Havilland,Weather Related,Landing/Approach,"Near Asuncion, Paraguay",Buenos Aires,AsunciÃ³n,50,44,6,2,1,1,0
9/2/1959,1716,1959,Other,Loss of Control In-Flight (LOC-I),Other/Unknown,"Abilene, Texas","Abilene, TX","Forth Worth, TX",2,0,2,2,0,2,0
9/8/1959,,1959,Douglas/McDonnell Douglas,"Intentional Act/Attack, Fire/Smoke Onboard, Takeoff/Landing Incident, Explosion/Decompression",Landing/Approach,"Poza Rica, Mexico",Mexico City,Merida,16,13,3,1,1,0,0
9/12/1959,415,1959,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Near Tegucigalpa, Honduras",San Salvador,Miami,3,0,3,3,0,3,0
9/23/1959,1840,1959,Saab,Other/Undetermined,On Ground,"Sao Paulo, Brazil",Sao Paulo,Rio de Janeiro,20,16,4,20,16,4,0
9/24/1959,1720,1959,Douglas/McDonnell Douglas,"Weather Related, Pilot/Human Error",Landing/Approach,"Great Sitkin Island, Alaska",Shemya,Cold Bay,16,11,5,16,11,5,0
9/24/1959,2324,1959,Douglas/McDonnell Douglas,"Mechanical/System Failure, Takeoff/Landing Incident, Collision",Takeoff/Initial Climb,"Bordeaux, France",Paris,Bordeaux,65,56,9,54,45,9,0
9/29/1959,2309,1959,Lockheed,Mechanical/System Failure,Other/Unknown,"Buffalo, Texas",Houston,Dallas,34,28,6,34,28,6,0
10/6/1959,,1959,Other,Weather Related,Other/Unknown,"Paloemeu, Suriname","Paramaribo, Suriname","Paloemeu, Suriname",2,0,2,2,0,2,0
10/23/1959,2210,1959,Ilyushin,Pilot/Human Error,Landing/Approach,"Near Moscow, Russia",Baku,Moscow,28,23,5,28,23,5,0
10/26/1959,2018,1959,Douglas/McDonnell Douglas,"Weather Related, Mechanical/System Failure, Maintenance Issues, Fire/Smoke Onboard, Explosion/Decompression",Takeoff/Initial Climb,"Santa Maria, California",Los Angeles,Oxnard,19,17,2,1,0,1,1
10/30/1959,2040,1959,Douglas/McDonnell Douglas,Mechanical/System Failure,Landing/Approach,"Waynesborough, Virginia",Washington DC,"Charlottsville, VA",27,24,3,26,23,3,0
10/30/1959,1525,1959,Douglas/McDonnell Douglas,"Mechanical/System Failure, Takeoff/Landing Incident",Takeoff/Initial Climb,"Athens, Greece",Athens,Thessaloniki,18,15,3,18,15,3,0
11/16/1959,1906,1959,Antonov,Weather Related,Landing/Approach,"Lvov, Ukraine, USSR",Moscow,Kiev,40,32,8,40,32,8,0
11/16/1959,55,1959,Douglas/McDonnell Douglas,"Intentional Act/Attack, Explosion/Decompression",Other/Unknown,Gulf of Mexico,Tampa,New Orleans,42,36,6,42,36,6,0
11/21/1959,,1959,Douglas/McDonnell Douglas,"Mechanical/System Failure, Fire/Smoke Onboard, Takeoff/Landing Incident",Takeoff/Initial Climb,"Beirut, Lebanon",Beirut,Tehran,27,22,5,24,19,5,0
12/1/1959,947,1959,Other,Other/Undetermined,Landing/Approach,"Willamsport, Pennsylvania",Harrisburg,Willamsport,26,22,4,25,21,4,0
12/8/1959,1657,1959,Other,Takeoff/Landing Incident,Landing/Approach,"Off Cartagena, Colombia",San Andres Island,Cartagena,45,42,3,45,42,3,0
12/13/1959,928,1959,Ilyushin,Pilot/Human Error,En route/Cruise,"Near Tashkent, Uzbekistan, USSR",Kabul,Tashkent,29,24,5,29,24,5,0
12/17/1959,1620,1959,Other,Mechanical/System Failure,En route/Cruise,"Ketchikan, Alaska",Juneau,Annette Island,3,0,3,3,0,3,0
12/21/1959,816,1959,Other,"Weather Related, Takeoff/Landing Incident",Landing/Approach,"Rome, Italy",Training,,2,0,2,2,0,2,0
12/24/1959,500,1959,Douglas/McDonnell Douglas,"Weather Related, Mechanical/System Failure, Takeoff/Landing Incident",Takeoff/Initial Climb,"Palembang, Indonesia",Palembang,Jakarta,2,0,2,1,0,1,0
12/31/1959,,1959,Douglas/McDonnell Douglas,Takeoff/Landing Incident,Takeoff/Initial Climb,"Near San Jose de Chiquitos, Bolivia",San José de Chiquitos,La Paz,11,7,4,11,7,4,0
1/3/1960,1040,1960,Douglas/McDonnell Douglas,Loss of Control In-Flight (LOC-I),Other/Unknown,"Taksing, India",,,9,5,4,9,5,4,0
1/6/1960,238,1960,Douglas/McDonnell Douglas,"Intentional Act/Attack, Suicide",Other/Unknown,"Wilmington/Bolivia, North Carolina",New York,Miami,34,29,5,34,29,5,0
1/18/1960,2219,1960,Other,"Weather Related, Mechanical/System Failure",On Ground,"Charles City, Virginia",Washington D.C.,Norfolk,50,46,4,50,46,4,0
1/19/1960,1847,1960,Other,Other/Undetermined,Landing/Approach,"Ankara, Turkey",Istanbul,Ankara,42,35,7,42,35,7,0
1/21/1960,,1960,Lockheed,"Weather Related, Pilot/Human Error, Mechanical/System Failure, Fire/Smoke Onboard, Takeoff/Landing Incident",Landing/Approach,"Montego Bay, Jamacia",Miami,Montigo Bay,46,39,7,37,35,2,0
1/26/1960,1230,1960,Bombardier/De Havilland,Weather Related,Other/Unknown,"Off Bathurst Island, Australia",Darwin,Baucau,9,7,2,9,7,2,0
2/5/1960,720,1960,Douglas/McDonnell Douglas,"Mechanical/System Failure, Takeoff/Landing Incident",Takeoff/Initial Climb,"Cochabamba, Bolivia",Cochabamba,La Paz,59,55,4,59,55,4,0
2/26/1960,1657,1960,Antonov,Other/Undetermined,On Ground,"Lvov-Snilow,  Ukraine",Moscow,Kiev,33,25,8,32,24,8,0
2/26/1960,,1960,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"Shannon, Ireland",Rome,Shannon,52,40,12,34,23,11,0
3/15/1960,,1960,Other,Other/Undetermined,En route/Cruise,"El Refugio, Colombia",Aracacuara,Villavicencio,13,10,3,6,4,2,0
3/16/1960,1940,1960,Douglas/McDonnell Douglas,Collision,En route/Cruise,"Nagoya, Japan",Tokyo,Nagoya,40,35,5,5,3,2,0
3/17/1960,1525,1960,Lockheed,Mechanical/System Failure,Other/Unknown,"Near Cannelton, 10 mile SE of Tell City, Indiana",Chicago,Miami,63,57,6,63,57,6,0
3/19/1960,1110,1960,Other,"Weather Related, Mechanical/System Failure, Takeoff/Landing Incident, Collision",Landing/Approach,"Cordoba, Colombia",San Andres,Medellin,46,42,4,25,22,3,0
4/5/1960,1439,1960,Other,"Pilot/Human Error, Mechanical/System Failure",Other/Unknown,"Siuna, Nicaragua",Siuna,Bonanza,18,14,4,2,1,1,0
4/12/1960,1420,1960,Douglas/McDonnell Douglas,Pilot/Human Error,On Ground,"Pelotas, Brazil",JaguarÃ£o,Rio Grande,22,19,3,10,8,2,0
4/19/1960,2048,1960,Other,Other/Undetermined,Landing/Approach,"Bogota, Colombia",Miami,Medellin,51,44,7,37,31,6,0
4/20/1960,1306,1960,Cessna,Takeoff/Landing Incident,Landing/Approach,"Hickory, North Carolina","Cincinnati, OH","Hickory, NC",44,39,5,4,3,1,0
4/22/1960,755,1960,Douglas/McDonnell Douglas,Pilot/Human Error,Landing/Approach,"Bunia, Belgian Congo",Brussels,Rome,35,28,7,35,28,7,0
4/28/1960,822,1960,Douglas/McDonnell Douglas,"Intentional Act/Attack, Explosion/Decompression",Other/Unknown,"Near Calabozo, Venezuela",Maiquetia,Calabozo,13,9,4,13,9,4,0
5/15/1960,2257,1960,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Jebel Marra, Sudan",Niamey,Khartoum,12,5,7,12,5,7,0
5/18/1960,1530,1960,Other,"Weather Related, Mechanical/System Failure",Other/Unknown,"El Sosneado, Argentina",Buenos Aires,Santiago de Chile,9,5,4,9,5,4,0
5/23/1960,1152,1960,Other,Loss of Control In-Flight (LOC-I),En route/Cruise,"Atlanta, Georgia",Training,,4,0,4,4,0,4,0
6/10/1960,1055,1960,Ilyushin,Other/Undetermined,En route/Cruise,"Nea Tkvarcheli, Georgia",Kutaisi,Rostov-on-Don,31,24,7,31,24,7,0
6/10/1960,2205,1960,Fokker,Weather Related,On Ground,"Off  Mackay, Qld. Australia",Rockhampton,MacKay,29,25,4,29,25,4,0
6/14/1960,447,1960,Lockheed,Weather Related,Other/Unknown,"Mt. Gilbert, Alaska",Cordova,Anchorage,14,9,5,14,9,5,0
6/24/1960,1830,1960,Other,Other/Undetermined,Landing/Approach,"Rio de Janeiro, Brazil",Belo Horizonte,Rio de Janeiro,54,49,5,54,49,5,0
7/10/1960,1030,1960,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,Persian Gulf,BahraÃ¯n,Doha,20,16,4,20,16,4,0
7/14/1960,430,1960,Douglas/McDonnell Douglas,"Mechanical/System Failure, Fire/Smoke Onboard",Landing/Approach,"Off Manila, Philippines",Okinawa,Manila,58,51,7,1,1,0,0
7/15/1960,940,1960,Douglas/McDonnell Douglas,Weather Related,Takeoff/Initial Climb,"Near Jima, Ethiopia",Bulchi,Jimma,11,8,3,1,0,1,0
7/16/1960,1538,1960,Bombardier/De Havilland,"Weather Related, Pilot/Human Error, Mechanical/System Failure, Loss of Control In-Flight (LOC-I)",Takeoff/Initial Climb,"Copenhagen, Denmark",Copenhagen,Herning,9,8,1,8,8,0,0
7/20/1960,1230,1960,Other,Weather Related,Other/Unknown,"Near Syktyvkar, Russia",Leningrad,Syktyvkar,23,19,4,23,19,4,0
7/27/1960,2238,1960,Other,Pilot/Human Error,Other/Unknown,"Forest Park, Illinois",,,13,11,2,13,11,2,0
7/31/1960,1156,1960,Other,Mechanical/System Failure,Landing/Approach,"Near Rimini, Italy",Frankfort,Rimini,34,30,4,1,1,0,0
8/1/1960,,1960,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"Near Tipuani, Bolivia",La Paz,Tipuani,6,4,2,6,4,2,0
8/17/1960,1558,1960,Ilyushin,"Mechanical/System Failure, Fire/Smoke Onboard",En route/Cruise,"Near Kiev, Ukraine",Cairo,Moscow,34,27,7,34,27,7,0
8/24/1960,,1960,Other,Mechanical/System Failure,Other/Unknown,"Off Heraklion, Greece","Heraklion, Greece","Cairo, Egypt",3,0,3,3,0,3,0
8/29/1960,647,1960,Lockheed,"Mechanical/System Failure, Takeoff/Landing Incident",Landing/Approach,"Off Dakar, Senegal",Paris,Dakar,63,55,8,63,55,8,0
9/2/1960,1710,1960,Ilyushin,Weather Related,Other/Unknown,"Near Zikhnovo, Russia",Arkhangelsk,Cherepovets,18,13,5,18,13,5,0
9/7/1960,940,1960,Douglas/McDonnell Douglas,"Weather Related, Mechanical/System Failure",Other/Unknown,"Near Salto, Uruguay",Asuncion,Buenos Aires,31,25,6,31,25,6,0
9/19/1960,602,1960,Douglas/McDonnell Douglas,"Weather Related, Fire/Smoke Onboard",En route/Cruise,"Agana, Guam, Mariana Islands",Guam,Wake Island,94,86,8,80,73,7,0
9/22/1960,,1960,Other,"Mechanical/System Failure, Loss of Control In-Flight (LOC-I), Takeoff/Landing Incident",Takeoff/Initial Climb,"Campbell Lake, Quebec Canada",Campbell Lake,St Jovite,4,3,1,3,2,1,0
9/26/1960,2340,1960,Other,Mechanical/System Failure,Landing/Approach,"Moscow, Russia",Warsaw,Moscow,37,31,6,31,26,5,0
9/28/1960,,1960,Douglas/McDonnell Douglas,Weather Related,On Ground,"Near Juchetipec, Mexico",Tapachula,Mexico City,18,15,3,8,5,3,0
9/29/1960,1215,1960,Other,Weather Related,Other/Unknown,"Off Elba, Italy",Geneva,Rome,21,17,4,21,17,4,0
10/4/1960,1740,1960,Lockheed,"Mechanical/System Failure, Loss of Control In-Flight (LOC-I)",En route/Cruise,"Boston, Massachusetts",Boston,Philadelphia,72,67,5,62,59,3,0
10/14/1960,1550,1960,Bombardier/De Havilland,Other/Undetermined,En route/Cruise,"Elba, Italy",Rome,Genoa,11,7,4,11,7,4,0
10/15/1960,,1960,Other,"Pilot/Human Error, Mechanical/System Failure",Other/Unknown,"Plain City, Utah",Rapid City,Ogden,2,0,2,2,0,2,0
10/21/1960,2114,1960,Tupolev,Takeoff/Landing Incident,Landing/Approach,"Ust-Orda, Russia",Moscow,Omsk,3,0,3,3,0,3,0
10/29/1960,2202,1960,Other,"Weather Related, Mechanical/System Failure, Takeoff/Landing Incident",Landing/Approach,"Toledo, Ohio",Toledo,"Kansas City, MO",48,45,3,22,20,2,0
10/29/1960,,1960,Douglas/McDonnell Douglas,Intentional Act/Attack,Other/Unknown,"Key West, Florida","Havana, Cuba",Nueva Gerona,37,34,3,1,1,0,0
11/5/1960,,1960,Douglas/McDonnell Douglas,"Loss of Control In-Flight (LOC-I), Explosion/Decompression",Takeoff/Initial Climb,"Bhairawa, Nepal",Bairahawa,Kathmandu,4,0,4,4,0,4,0
11/7/1960,,1960,Other,Other/Undetermined,On Ground,"Near Quito, Ecuador",Guayaquil,Quito,37,34,3,37,34,3,0
11/23/1960,1845,1960,Douglas/McDonnell Douglas,Weather Related,En route/Cruise,"Manila, Philippines",Iloilo,Manila,33,29,4,33,29,4,0
12/4/1960,2253,1960,Ilyushin,"Mechanical/System Failure, Fire/Smoke Onboard",Landing/Approach," Chernovo, Russia",Syktyvkar,Moscow,14,9,5,14,9,5,0
12/7/1960,,1960,Other,Mechanical/System Failure,En route/Cruise,"Cachimbo, Brazil",Cuiaba,Manaus,15,13,2,15,13,2,0
12/22/1960,1231,1960,Douglas/McDonnell Douglas,"Mechanical/System Failure, Takeoff/Landing Incident",Takeoff/Initial Climb,"Cebu City, Philippines",Cebu,Davao,37,34,3,28,26,2,0
12/26/1960,1942,1960,Ilyushin,Other/Undetermined,Other/Unknown,"Near Ulyanovsk, Russia",Kuibyshev,Ulyanovsk,17,13,4,17,13,4,0
1/2/1961,,1961,Other,Takeoff/Landing Incident,Takeoff/Initial Climb,"Ruzyne, Czechoslovakia",Training,,10,5,5,10,5,5,0
1/3/1961,740,1961,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Koivulahti, Finland",Kokkola,Vaasa,25,22,3,25,22,3,0
1/24/1961,1048,1961,Douglas/McDonnell Douglas,Weather Related,Other/Unknown,"Mt. Burangrang, Indonesia",Jakarta,Bandung,21,16,5,21,16,5,0
1/28/1961,1220,1961,Boeing,Other/Undetermined,Other/Unknown,"Off Montauk Point, New York",Training,,6,0,6,6,0,6,0
2/3/1961,2355,1961,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"Off Surabaya, Indonesia",Surabaya,Balikpapan,26,21,5,26,21,5,0
2/15/1961,1005,1961,Boeing,Mechanical/System Failure,Takeoff/Initial Climb,"Near Brussels, Belgium",New York City,Brussels,72,61,11,72,61,11,1
3/9/1961,1500,1961,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"Near Caracas, Venezuela",San Antonio-Maiquetia,,12,8,4,12,8,4,0
3/28/1961,2008,1961,Ilyushin,"Weather Related, Pilot/Human Error, Mechanical/System Failure",Landing/Approach,"Forcheim, Germany",Prague,Zurich,52,44,8,52,44,8,0
4/3/1961,2357,1961,Douglas/McDonnell Douglas,Other/Undetermined,Landing/Approach,"Llico, Chile",Temuco,Santiago,24,20,4,24,20,4,0
5/10/1961,112,1961,Lockheed,Intentional Act/Attack,En route/Cruise,"Ghadames, Algeria","Fort Lamy, Chad","Marseilles, France",78,69,9,78,69,9,0
5/30/1961,120,1961,Douglas/McDonnell Douglas,"Mechanical/System Failure, Loss of Control In-Flight (LOC-I)",Other/Unknown,"Near Lisbon, Portugal",Rome,Lisbon,61,47,14,61,47,14,0
6/12/1961,411,1961,Lockheed,Mechanical/System Failure,Landing/Approach,"Cairo, Egypt",Rome,Cairo,36,29,7,20,17,3,0
6/13/1961,1933,1961,Douglas/McDonnell Douglas,"Weather Related, Mechanical/System Failure, Fire/Smoke Onboard, Collision, Explosion/Decompression",En route/Cruise,"Douala, Cameroon",Training,,5,3,2,5,3,2,0
6/30/1961,2057,1961,Other,"Pilot/Human Error, Mechanical/System Failure, Collision",Landing/Approach,"Buenos Aires, Argentina",Salta,Cordoba,35,30,5,24,22,2,0
7/8/1961,1900,1961,Ilyushin,Other/Undetermined,Landing/Approach,"	Sverdlovsk, Russia",Kazan,Sverdlovsk,26,21,5,9,4,5,0
7/10/1961,1043,1961,Tupolev,Weather Related,Other/Unknown,"Odessa, Ukraine, USSR",Leningrad,Odessa,85,76,9,1,1,0,0
7/11/1961,1136,1961,Douglas/McDonnell Douglas,"Weather Related, Mechanical/System Failure, Maintenance Issues, Takeoff/Landing Incident",Takeoff/Initial Climb,"Denver, Colorado",Omaha,Denver,122,115,7,17,17,0,1
7/19/1961,800,1961,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Near Azul, Argentina",Buenos Aires,Comodoro,67,60,7,67,60,7,0
7/21/1961,211,1961,Douglas/McDonnell Douglas,Other/Undetermined,Landing/Approach,"Shemya, Alaska",Seattle,Shemya AFB,6,0,6,6,0,6,0
8/6/1961,,1961,Douglas/McDonnell Douglas,Loss of Control In-Flight (LOC-I),Other/Unknown,"Budapest, Hungary",Sightseeing,,27,23,4,27,23,4,3
8/9/1961,1730,1961,Other,Other/Undetermined,On Ground,"Sola, Norway",London,Sola,39,36,3,39,36,3,0
8/23/1961,2002,1961,Other,Other/Undetermined,Landing/Approach,"Ankara, Turkey",Nicosia,Adana,29,25,4,28,24,4,0
8/29/1961,1822,1961,Bombardier/De Havilland,"Weather Related, Fire/Smoke Onboard, Fuel Related",Other/Unknown,"SondrestrÃ¶mfjord, Greenland",,,6,4,2,1,0,1,0
9/5/1961,,1961,Douglas/McDonnell Douglas,"Mechanical/System Failure, Loss of Control In-Flight (LOC-I), Takeoff/Landing Incident",Landing/Approach,"Near Sendafar, Ethiopia",Addis Ababa,Asmara,19,16,3,5,4,1,0
9/6/1961,,1961,Douglas/McDonnell Douglas,Weather Related,On Ground,"Concordia, SC, Brazil",Sao Paulo,Concordia,4,0,4,4,0,4,
9/6/1961,,1961,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Cerro del Aernal, Costa Rica",,,2,0,2,2,0,2,0
9/10/1961,355,1961,Douglas/McDonnell Douglas,"Weather Related, Pilot/Human Error",Other/Unknown,"Shannon, Ireland",Shannon,Gander,83,77,6,83,77,6,0
9/12/1961,2209,1961,Other,Takeoff/Landing Incident,Landing/Approach,"Near Rabat, Morocco",Paris,Rabat,77,71,6,77,71,6,0
9/17/1961,857,1961,Lockheed,"Mechanical/System Failure, Takeoff/Landing Incident",Takeoff/Initial Climb,"Chicago, Illinois",Chicago,Tampa,37,32,5,37,32,5,0
9/17/1961,2213,1961,Douglas/McDonnell Douglas,"Pilot/Human Error, Intentional Act/Attack, Collision",Landing/Approach,"Ndola, Zambia",Leopoldville,Ndola,16,11,5,16,11,5,0
9/23/1961,1802,1961,Fokker,Weather Related,Landing/Approach,"Ankara, Turkey",Adana,Ankara,29,25,4,28,24,4,0
10/7/1961,200,1961,Douglas/McDonnell Douglas,Other/Undetermined,Landing/Approach,"Mt. Canigou, France",London,Perpignan,34,31,3,34,31,3,0
11/1/1961,215,1961,Douglas/McDonnell Douglas,Pilot/Human Error,Landing/Approach,"Near Recife, Brazil",Lisbon,Ilha do Sal,88,79,9,45,38,7,0
11/1/1961,1426,1961,Other,Mechanical/System Failure,Landing/Approach,"Les Prevosts, Guernsey",Cherboug,Les Prevosts,10,7,3,2,0,2,0
11/11/1961,,1961,Lockheed,Disappearance,En route/Cruise,Off Puerto Rico,"San Juan, PR",Managua,3,0,3,3,0,3,0
11/22/1961,,1961,,"Weather Related, Mechanical/System Failure, Takeoff/Landing Incident",Takeoff/Initial Climb," Harare, Zimbabwe",Salisbury,Livingstone,3,0,3,3,0,3,0
11/23/1961,540,1961,Bombardier/De Havilland,"Weather Related, Pilot/Human Error",Takeoff/Initial Climb,"Campinas, Brazil",Sao Paulo,Trinidad,52,40,12,52,40,12,0
11/30/1961,1925,1961,Other,Mechanical/System Failure,On Ground,"Sydney, NSW, Australia",Sydney,Canberra,15,11,4,15,11,4,0
12/4/1961,1230,1961,Boeing,Takeoff/Landing Incident,Landing/Approach,"Mainz, Germany",Training,,3,0,3,3,0,3,0
12/15/1961,1100,1961,Other,Other/Undetermined,Other/Unknown,"Managua, Nicaragua",Managua,Miami,2,0,2,2,0,2,0
12/17/1961,1600,1961,Ilyushin,"Weather Related, Mechanical/System Failure",Other/Unknown,"Near Chebotovka, Russia",Moscow,Adler,59,50,9,59,50,9,0
12/21/1961,2334,1961,Bombardier/De Havilland,Loss of Control In-Flight (LOC-I),Takeoff/Initial Climb,"Ankara, Turkey",Ankara,Nicosia,34,27,7,27,20,7,0
12/24/1961,1050,1961,Other,Takeoff/Landing Incident,Takeoff/Initial Climb,"Old Harbor, Kodiak Island, Alaska",Old Harbor,Kaguyak,5,4,1,1,1,0,0
12/29/1961,,1961,Douglas/McDonnell Douglas,Other/Undetermined,Landing/Approach,"Surabaya, Indonesia",Jakarta -Surabaya,,14,,,14,,,0
12/31/1961,1758,1961,Ilyushin,Other/Undetermined,On Ground,"Near Mineral Waters, Russia",Tbilisi,Mineral Waters,119,110,9,32,30,2,0
1/13/1962,,1962,Douglas/McDonnell Douglas,Other/Undetermined,On Ground,"Near Tippi, Ethiopia",Tippi,Jimma,18,15,3,5,3,2,1
1/22/1962,1516,1962,Other,"Pilot/Human Error, Takeoff/Landing Incident, Collision",Takeoff/Initial Climb,"Caranavi ,Bolivia",,,6,2,4,6,2,4,0
1/27/1962,1817,1962,Antonov,Mechanical/System Failure,Other/Unknown,"Batataevka, USSR",Training,,14,0,14,13,0,13,0
2/25/1962,,1962,Other,Takeoff/Landing Incident,Takeoff/Initial Climb,"Portlamar, Margarita Island, Venezuela",Porlamar,Cumana,23,20,3,23,20,3,0
2/25/1962,1435,1962,Douglas/McDonnell Douglas,Loss of Control In-Flight (LOC-I),Takeoff/Initial Climb,"Municipio de Marulanda, Colombia",Manizales,Bogota,2,0,2,2,0,2,0
3/1/1962,1009,1962,Boeing,"Mechanical/System Failure, Collision",On Ground,"Jamaica Bay, New York, New York",New York City,Los Angeles,95,87,8,95,87,8,0
3/4/1962,1820,1962,Douglas/McDonnell Douglas,Collision,Takeoff/Initial Climb,"Douala, Cameroon",Douala,Lisboa,111,101,10,111,101,10,0
3/6/1962,1415,1962,Douglas/McDonnell Douglas,Weather Related,Other/Unknown,"Near Seymour, South Africa",Grahamtown,Queentown,7,3,4,2,0,2,0
3/8/1962,2300,1962,Douglas/McDonnell Douglas,Other/Undetermined,Landing/Approach,"Rome, Italy",Khartoum,Rome,5,0,5,5,0,5,0
3/8/1962,1743,1962,Other,Weather Related,En route/Cruise,"Mt. Medetsiz, Turkey",Ankara,Adana,11,8,3,11,8,3,0
3/15/1962,30,1962,Lockheed,Explosion/Decompression,En route/Cruise,"Western Pacific Ocean, Philippine Sea",Travis AFB,Honolulu,107,96,11,107,96,11,0
3/27/1962,1745,1962,Ilyushin,"Weather Related, Takeoff/Landing Incident",Takeoff/Initial Climb,"Santiago de Cuba, Cuba",Santiago de Cuba,Havana,22,18,4,22,18,4,0
4/22/1962,1045,1962,Douglas/McDonnell Douglas,Other/Undetermined,On Ground,"Serrania del Baudo, Colombia",Bahia Solano,Quibdo,40,36,4,40,36,4,0
5/6/1962,1329,1962,Douglas/McDonnell Douglas,Pilot/Human Error,Landing/Approach,"	St. Boniface Down, England","Jersey, Channel Islands","Portsmouth, England",18,15,3,12,9,3,0
5/9/1962,1930,1962,Other,Collision,Landing/Approach,"Vitoria, Brazil",Rio de Janerio,Vitoria,25,22,3,23,20,3,0
5/12/1962,1055,1962,Other,"Mechanical/System Failure, Takeoff/Landing Incident",Landing/Approach,"Godthaab, Greenland",Sondre Stromfjord,Godthab,21,18,3,15,15,0,0
5/15/1962,,1962,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Near Cairo, Egypt","Cairo, Egypt","Beirut, Lebanon",3,0,3,3,0,3,0
5/22/1962,2121,1962,Boeing,"Intentional Act/Attack, Suicide, Explosion/Decompression",En route/Cruise,"Near Unionville, Missouri",Chicago,"Kansas City, MO",45,37,8,45,37,8,0
5/24/1962,1853,1962,Other,Mechanical/System Failure,On Ground,"Bitter, Russia",Bitter,Moscow,21,17,4,20,16,4,0
6/4/1962,533,1962,Tupolev,Mechanical/System Failure,Other/Unknown,"Sofia, Bulgaria",Sofia,Moscow,5,0,5,5,0,5,0
6/22/1962,401,1962,Boeing,Mechanical/System Failure,Landing/Approach,"Basse-Terre, Guadaloupe, West Indies",Paris,Pointe-a Pitre,112,102,10,112,102,10,0
6/28/1962,,1962,Antonov,Weather Related,Landing/Approach,"Near Adler, Russia",Lvov,Sochi,81,74,7,81,74,7,0
6/30/1962,2053,1962,Tupolev,Other/Undetermined,Other/Unknown,"Near Krasnoyarsk, USSR",Irkutsk,Omsk,84,76,8,84,76,8,0
